region,total_CS,year
Auvergne-Rhones-Alpes,16012537,2021
Auvergne-Rhones-Alpes,18821994,2022
Auvergne-Rhones-Alpes,21006355,2023
Bourgogne-Franche-Comte,4229363,2021
Bourgogne-Franche-Comte,4870902,2022
Bourgogne-Franche-Comte,5543627,2023
Bretagne,6193303,2021
Bretagne,7328236,2022
Bretagne,8317998,2023
Centre-Val-De-Loire,3277933,2021
Centre-Val-De-Loire,3983919,2022
Centre-Val-De-Loire,4329105,2023
Corse,330205,2021
Corse,412011,2022
Corse,519639,2023
Grand-Est,12686556,2021
Grand-Est,14771894,2022
Grand-Est,16535119,2023
Hauts-De-France,13825883,2021
Hauts-De-France,16181502,2022
Hauts-De-France,18235351,2023
Ile-De-France,41640707,2021
Ile-De-France,46539070,2022
Ile-De-France,52058559,2023
Normandie,5582028,2021
Normandie,6671475,2022
Normandie,7408988,2023
Nouvelle-Aquitaine,12446182,2021
Nouvelle-Aquitaine,15142051,2022
Nouvelle-Aquitaine,17473655,2023
Occitanie,12661397,2021
Occitanie,15390446,2022
Occitanie,17942487,2023
Pays-De-La-Loire,6771558,2021
Pays-De-La-Loire,8055704,2022
Pays-De-La-Loire,9078103,2023
Provence-Alpes-Cote-D-Azur,14844073,2021
Provence-Alpes-Cote-D-Azur,17651024,2022
Provence-Alpes-Cote-D-Azur,20552834,2023
